Player,NBA_Season,Pos,Age,Tm,G,MP,PER,TS_Perc,3PAr,FTr,ORB_Perc,DRB_Perc,TRB_Perc,AST_Perc,STL_Perc,BLK_Perc,TOV_Perc,USG_Perc,OWS,DWS,WS,WS_per_48,OBPM,DBPM,BPM,VORP,Label
Nik Stauskas,2015,SG,21,SAC,73,1127,7.5,0.492,0.503,0.216,1.1,7.5,4.4,9,0.9,1.2,11,14.2,0.3,0.2,0.5,0.021,-1.9,-2,-3.9,-0.5,0
Gary Harris,2015,SG,20,DEN,55,719,4.9,0.395,0.475,0.217,3,6.7,4.8,5.9,2.7,0.8,13.8,16.6,-1.2,0.5,-0.7,-0.046,-4.2,-0.1,-4.3,-0.4,0
Erick Green,2015,PG,23,DEN,43,410,8.9,0.436,0.29,0.074,1.8,6.6,4.1,15.1,1.5,0,7.7,19.1,-0.1,0.1,0,0,-2.7,-2.7,-5.4,-0.3,0
P.J. Hairston,2015,SG,22,CHO,45,687,9,0.446,0.606,0.134,3.4,11.5,7.4,5.1,1.6,1.5,7.2,20.4,-0.5,0.8,0.3,0.022,-2.2,-1.3,-3.5,-0.3,0
Joe Harris,2015,SG,23,CLE,51,493,5.6,0.537,0.7,0.125,1.7,7.8,4.8,7.7,0.7,0.3,17.6,14.1,0,0.2,0.2,0.018,-2,-2.5,-4.5,-0.3,0
Nick Johnson,2015,SG,22,HOU,28,262,4.8,0.43,0.28,0.333,5.5,10.9,8.2,6.3,1.3,0.9,18.1,17.4,-0.4,0.2,-0.1,-0.02,-6.1,-1.2,-7.3,-0.3,0
Spencer Dinwiddie,2015,PG,21,DET,34,455,10.2,0.394,0.385,0.201,0.9,10.9,5.7,34.9,2.2,1,15.2,21.1,-0.3,0.4,0.1,0.009,-2.6,-1.5,-4.2,-0.2,0
Aaron Gordon,2015,PF,19,ORL,47,797,11.4,0.517,0.231,0.293,6.4,17.8,12,6.3,1.3,2.2,13.9,15.5,0.3,0.7,1,0.06,-2.8,0,-2.8,-0.2,0
Cory Jefferson,2015,PF,24,BRK,50,531,13.2,0.48,0.09,0.323,10,20.6,15.3,4.8,1,3.2,9.5,18.1,0.2,0.6,0.8,0.071,-3.3,-0.4,-3.7,-0.2,0
K.J. McDaniels,2015,SG,21,TOT,62,1352,10.6,0.494,0.346,0.306,5,11.4,8,9.3,1.6,4.2,17.6,19.3,-0.9,1.5,0.6,0.02,-3.8,1.1,-2.7,-0.2,0
Shabazz Napier,2015,PG,23,MIA,51,1012,9.3,0.517,0.518,0.246,2.1,11.2,6.7,19.9,2.1,0.3,24.3,15.5,-0.3,0.8,0.5,0.024,-2,-0.6,-2.6,-0.2,0
Noah Vonleh,2015,PF,19,CHO,25,259,13.2,0.475,0.171,0.342,11.6,25.3,18.3,2.5,0.8,2.7,11.2,17.3,0.1,0.4,0.5,0.085,-4.8,-0.9,-5.6,-0.2,0
Andrew Wiggins,2015,SF,19,MIN,82,2969,13.9,0.517,0.111,0.41,5,9.5,7.2,9.8,1.5,1.3,11.7,22.6,2.1,0,2.1,0.034,-0.5,-1.8,-2.3,-0.2,0
James Young,2015,SG,19,BOS,31,332,8.5,0.457,0.647,0.284,2.9,11,6.9,5.6,1.2,0.5,4.2,15.8,0.1,0.3,0.3,0.047,-1.9,-1.9,-3.8,-0.2,0
Kyle Anderson,2015,SF,21,SAS,33,358,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,-0.3,0.6,0.3,0.044,-5.2,2.4,-2.7,-0.1,0
